Date,Line,Station
2023-03-26,棕線,萬芳醫院-動物園
2023-04-01,棕線,萬芳醫院-動物園
2023-04-10,棕線,萬芳醫院-動物園
2023-04-17,棕線,萬芳醫院-動物園
2023-05-15,棕線,萬芳醫院-動物園
2023-05-24,棕線,萬芳醫院-動物園
2023-05-26,棕線,萬芳醫院-動物園
2023-06-12,棕線,萬芳醫院-動物園
2023-06-13,棕線,萬芳醫院-動物園
2023-06-15,棕線,萬芳醫院-動物園
2023-06-24,棕線,萬芳醫院-動物園
2023-08-16,棕線,辛亥-動物園
2023-08-21,棕線,大安-松山機場
2023-08-29,棕線,萬芳醫院-動物園
2023-09-12-1,棕線,萬芳醫院-動物園
2023-09-12-2,棕線,南港展覽館-動物園
2023-09-21,棕線,南港展覽館-動物園
2023-09-22,棕線,萬芳醫院-動物園
2023-10-05,綠線,新店-松山
2023-10-19,紅線,象山-淡水
2023-10-24,棕線,萬芳醫院-動物園
2023-10-26,機捷,台北車站-機場第二航廈站
2023-11-01,機捷,台北車站-機場第二航廈站
2023-11-02,機捷,台北車站-機場第二航廈站
2023-11-09,棕線,木柵-南港展覽館
